,title,rank,cluster,genre,year,foreign,language,country
0,A Place in the Sun,76.0,0,"['Drama', 'Romance']",1951,0,['English'],['US']
0,A Streetcar Named Desire,97.0,0,['Drama'],1951,0,"['English', 'Spanish']",['US']
3,High Noon,89.0,3,"['Action', 'Drama', 'Thriller', 'Western']",1952,0,"['English', 'Spanish']","['USA', 'US']"
1,From Here to Eternity,85.0,1,"['Drama', 'Romance', 'War']",1953,0,['English'],['USA']
0,Roman Holiday,78.0,0,"['Drama', 'Comedy', 'Romance']",1953,0,"['English', 'German', 'Italian']","['USA', 'Italy']"
4,Shane,80.0,4,"['Drama', 'Western']",1953,0,['English'],['US']
4,Stalag 17,84.0,4,"['Drama', 'Comedy', 'War']",1953,0,"['English', 'German', 'Russian']",['US']
1,On the Waterfront,91.0,1,"['Drama', 'Romance', 'Crime']",1954,0,['English'],['USA']
0,Rear Window,,0,"['Mystery', 'Thriller']",1954,0,['English'],['US']
0,Sabrina,72.0,0,"['Drama', 'Comedy', 'Romance']",1954,0,"['English', 'French']",['USA']
0,The Caine Mutiny,63.0,0,"['Drama', 'War']",1954,0,['English'],['US']
2,Seven Brides for Seven Brothers,75.0,2,"['Drama', 'Comedy', 'Romance', 'Western', 'Musical']",1954,0,['English'],['US']
0,East of Eden,72.0,0,['Drama'],1955,0,['English'],['US']
0,The King and I,72.0,0,"['Biography', 'Drama', 'Romance', 'Musical']",1956,0,"['English', 'Thai']",['US']
1,The Bridge on the River Kwai,87.0,1,"['Adventure', 'Drama', 'War']",1957,0,"['English', 'Japanese', 'Thai']","['GB', 'US']"
1,12 Angry Men,96.0,1,"['Drama', 'Crime']",1957,0,['English'],['USA']
2,Cat on a Hot Tin Roof,84.0,2,['Drama'],1958,0,['English'],['US']
0,The Defiant Ones,69.0,0,"['Drama', 'Crime']",1958,0,['English'],['US']
3,Gigi,82.0,3,"['Comedy', 'Romance', 'Musical']",1958,0,"['English', 'French']",['US']
3,Ben-Hur,90.0,3,"['Adventure', 'Drama', 'History', 'War']",1959,0,['English'],['USA']
4,The Diary of Anne Frank,59.0,4,"['Biography', 'Drama', 'History', 'War', 'Family']",1959,0,"['English', 'German']",['US']
4,The Nun's Story,78.0,4,['Drama'],1959,0,['English'],['US']
3,Room at the Top,84.0,3,"['Drama', 'Romance']",1959,0,['English'],['GB']
1,Some Like It Hot,98.0,1,"['Comedy', 'Romance']",1959,0,['English'],['US']
2,Anatomy of a Murder,95.0,2,"['Drama', 'Mystery', 'Thriller', 'Crime']",1959,0,['English'],['US']
2,The Apartment,94.0,2,"['Drama', 'Comedy', 'Romance']",1960,0,['English'],['US']
0,Psycho,97.0,0,"['Mystery', 'Thriller', 'Horror']",1960,0,['English'],['USA']
2,The Sundowners,82.0,2,"['Adventure', 'Drama']",1960,0,['English'],['GB']
1,The Hustler,90.0,1,"['Drama', 'Sport']",1961,0,['English'],['US']
1,Judgment at Nuremberg,60.0,1,"['Drama', 'War']",1961,0,"['English', 'German']",['US']
0,La Dolce Vita,95.0,0,"['Drama', 'Comedy']",1961,0,"['English', 'German', 'French', 'Italian']","['France', 'Italy']"
3,West Side Story,86.0,3,"['Drama', 'Romance', 'Crime', 'Musical']",1961,0,"['English', 'Spanish']",['US']
0,The Miracle Worker,83.0,0,"['Biography', 'Drama']",1962,0,"['English', 'ase']",['US']
0,To Kill a Mockingbird,88.0,0,"['Drama', 'Crime']",1962,0,['English'],['USA']
0,Million Dollar Baby,86.0,0,"['Drama', 'Sport']",2004,0,"['English', 'Irish Gaelic']",['USA']
0,Ray,73.0,0,"['Biography', 'Drama', 'Music']",2004,0,['English'],['USA']
3,Sideways,94.0,3,"['Drama', 'Comedy', 'Romance']",2004,0,"['English', 'Armenian']","['USA', 'Hungary']"
