name,year,competition_category,winner,url,summary,countries,languages,genre,metascore
Witness,1985,DIRECTING,FALSE,https://www.metacritic.com/movie/witness/details,Samuel Lap (Haas) a young Amish boy witnesses a murder while visiting Philadelphia with his mother Rachel (McGillis). Detective John Book (Ford) goes undercover in Amish country when he realizes the killer is a corrupt cop out to kill the only witness.,['USA'],"['English', 'German']","['Drama', 'Thriller', 'Romance']",76
Three Men and a Cradle,1985,FOREIGN LANGUAGE FILM,FALSE,https://www.metacritic.com/movie/three-men-and-a-cradle/details,None,['FR'],['French'],['Comedy'],44
The Color Purple,1985,BEST PICTURE,FALSE,https://www.metacritic.com/movie/the-color-purple/details,"In rural Georgia during the first half of the 20th century, Celie (Whoopi Goldberg) is married off to an abusive man (Danny Glover) after becoming pregnant by her own father. Based on Alice Walker's Pulitzer Prize-winning novel.",['USA'],['English'],['Drama'],78
Blue Velvet,1986,DIRECTING,FALSE,https://www.metacritic.com/movie/blue-velvet/details,"Set in a small American town, Blue Velvet is a dark, sensuous mystery involving the intertwining lives of four very different individuals.  The film's painful realism reminds us that we are not immune to the disturbing events which transpire in Blue Velvet's sleepy community. There is a darker side of life waiting for us all.  (De Laurentiis Entertainment Group Inc.)",['USA'],['English'],"['Drama', 'Mystery', 'Thriller']",76
Hannah and Her Sisters,1986,DIRECTING,FALSE,https://www.metacritic.com/movie/hannah-and-her-sisters/details,A comic look at the relationships among three sisters and their various romantic interests.,['USA'],['English'],"['Drama', 'Comedy', 'Romance']",90
The Mission,1986,DIRECTING,FALSE,https://www.metacritic.com/movie/the-mission/details,Eighteenth century Spanish Jesuits try to protect a remote South American tribe in danger of falling under the rule of pro-slavery Portugal.,"['GB', 'FR']","['English', 'Spanish', 'Latin', 'Guarani']","['Adventure', 'Drama', 'History']",55
Platoon,1986,DIRECTING,TRUE,https://www.metacritic.com/movie/platoon/details,A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,"['USA', 'UK']","['English', 'Vietnamese']","['Drama', 'War']",92
A Room with a View,1986,DIRECTING,FALSE,https://www.metacritic.com/movie/a-room-with-a-view/details,"Based on E.M. Forster's novel, Lucy, a young English woman (Bonham Carter), and her aunt (Smith) travel to Florence in the early 1900's.  When Lucy encounters a British gentleman in Italy and finds herself falling in love, she must choose between him and her fiancé back in England.",['UK'],"['English', 'Italian']","['Drama', 'Comedy', 'Romance']",83
Betty Blue,1986,FOREIGN LANGUAGE FILM,FALSE,https://www.metacritic.com/movie/betty-blue/details,A lackadaisical handyman and aspiring novelist tries to support his younger girlfriend as she slowly succumbs to madness.,['FR'],['French'],"['Drama', 'Romance']",56
The Decline of the American Empire,1986,FOREIGN LANGUAGE FILM,FALSE,https://www.metacritic.com/movie/the-decline-of-the-american-empire/details,"Eight friends who spend a weekend discussing their feelings about sex, love and marriage.",['CA'],"['English', 'French']","['Drama', 'Comedy']",60
Children of a Lesser God,1986,BEST PICTURE,FALSE,https://www.metacritic.com/movie/children-of-a-lesser-god/details,"A new speech teacher (William Hurt) at a school for the deaf falls in love with the janitor, a deaf woman (Marlee Matlin) speechless by choice.",['US'],"['English', 'ase']","['Drama', 'Romance']",80
Fatal Attraction,1987,DIRECTING,FALSE,https://www.metacritic.com/movie/fatal-attraction/details,"Fatal Attraction is a story too terrifying to resist, a crackling, tension-packed thriller hinged on the triangle of a man, a wife and vengeful ""other woman."" This sexy, chic, scary box-office smash grabs hold early-then tops itself with an unforgettably nerve-jolting finale. [Paramount Pictures]",['USA'],['English'],"['Drama', 'Thriller']",67
Hope and Glory,1987,DIRECTING,FALSE,https://www.metacritic.com/movie/hope-and-glory/details,"Bill, a young boy living on the outskirts of London experiences the exhilaration of World War II. During this period, Bill learns about sex, death, love, hypocrisy, and the faults of adults as he prowls the ruins of bombed houses.","['GB', 'US']",['English'],"['Drama', 'Comedy', 'Romance']",86
